City/Town,"Joe Biden/ Kamala Harris
Democratic","Donald Trump/ Mike Pence
Republican","Jo Jorgensen/ Spike Cohen
Libertarian","Howie Hawkins/ Angela Walker
Green","Kanye West/ Michelle Tidball
Write In","Brian T. Carroll/ Amar Patel
Write In","Jade Simmons/ Claudeliah J. Roze
Write In","Rocky De la Fuenta/ Darcy Richardson
Write In","Shawn W. Howard/ Alyssa Howard
Write In","Mark Charles/ Adrian Wallace
Write In","Kasey Wells/ Rachel Wells
Write In","Mary Ruth Caro Simmons/ Sherrie Dow
Write In","Karynn Weinstein/ David Weinstein
Write In","Jeffrey John Klojzy, Jr./ Thomas A. LeMay
Write In","Total Votes Cast"
Totals,"1,080,831","714,717","20,230","7,538",255,218,22,13,12,11,6,2,1,0,"1,823,856"
Andover,"1,058",998,27,8,0,0,0,0,0,0,0,0,0,0,"2,091"
Ansonia,"4,521","3,797",63,37,1,0,0,0,0,0,0,0,0,0,"8,419"
Ashford,"1,330","1,160",35,17,1,0,0,0,0,1,0,0,0,0,"2,544"
Avon,"7,299","4,469",169,49,1,0,0,0,0,0,0,0,0,0,"11,987"
Barkhamsted,"1,154","1,228",42,16,0,2,0,0,0,0,0,0,0,0,"2,442"
"Beacon Falls","1,543","2,191",57,12,0,0,0,0,0,0,0,0,0,0,"3,803"
Berlin,"6,008","6,687",136,41,1,0,0,0,0,0,0,0,0,0,"12,873"
Bethany,"1,912","1,718",46,22,0,0,0,0,0,0,0,0,0,0,"3,698"
Bethel,"6,270","4,734",114,51,1,2,0,0,0,0,0,0,0,0,"11,172"
Bethlehem,937,"1,393",21,15,1,0,0,0,0,0,0,0,0,0,"2,367"
Bloomfield,"11,007","1,698",78,34,2,1,1,0,0,0,0,0,0,0,"12,821"
Bolton,"1,727","1,482",54,23,0,0,2,0,0,0,0,0,0,0,"3,288"
Bozrah,703,817,23,5,0,0,0,0,0,0,0,0,0,0,"1,548"
Branford,"10,562","7,098",178,68,4,1,1,1,0,0,0,0,0,0,"17,913"
Bridgeport,"33,515","8,269",200,153,3,45,0,0,0,0,2,0,1,0,"42,188"
Bridgewater,667,549,10,7,0,0,0,0,0,0,0,0,0,0,"1,233"
Bristol,"15,462","13,834",357,121,5,17,2,0,0,0,0,1,0,0,"29,799"
Brookfield,"5,426","5,226",111,39,4,1,0,0,0,0,0,0,0,0,"10,807"
Brooklyn,"1,876","2,262",70,13,1,0,0,0,0,0,0,0,0,0,"4,222"
Burlington,"3,099","3,034",76,22,2,0,0,0,0,0,0,0,0,0,"6,233"
Canaan,437,209,6,2,1,0,0,0,0,0,0,0,0,0,655
Canterbury,"1,182","1,755",58,17,0,0,0,0,0,0,0,0,0,0,"3,012"
Canton,"3,878","2,663",97,23,2,0,0,0,0,0,0,0,0,0,"6,663"
Chaplin,598,662,22,8,0,0,0,0,0,0,0,0,0,0,"1,290"
Cheshire,"9,745","7,349",237,86,0,0,0,0,1,0,0,0,0,0,"17,418"
Chester,"1,701",853,29,11,0,1,1,0,0,0,0,0,0,0,"2,596"
Clinton,"4,368","3,312",99,25,0,0,0,0,0,0,0,0,0,0,"7,804"
Colchester,"5,216","4,243",178,54,0,0,0,0,0,0,0,0,0,0,"9,691"
Colebrook,403,563,19,3,0,0,0,0,0,0,0,0,0,0,988
Columbia,"1,888","1,600",61,18,0,0,1,0,0,0,0,0,0,0,"3,568"
Cornwall,760,250,9,13,0,0,0,0,0,0,0,0,0,0,"1,032"
Coventry,"4,011","3,545",154,49,7,6,0,0,0,0,0,0,0,0,"7,772"
Cromwell,"4,872","3,749",110,42,5,5,0,0,0,0,0,0,0,0,"8,783"
Danbury,"18,869","12,788",261,100,2,0,0,0,1,0,0,0,0,0,"32,021"
